fromPO, toPO, time, energy
1, 1, 0.0, 0.0
1, 2, 1.2448770374871887, 0.5657867059049403
1, 3, 1.7831068686994556, 1.1758309412228092
1, 4, 2.212810311689379, 1.8185561177184197
1, 5, 2.5886090762048104, 2.4939622353917863
1, 6, 2.9325497782943635, 3.204772706007709
1, 7, 3.2558653088096228, 3.9537109413309954
1, 8, 3.56519350744316, 4.743500353126462
1, 9, 3.8638951475666317, 5.574140941394109
1, 10, 4.156014094938585, 6.451079529663558
1, 11, 4.4432583675700785, 7.375677823817232
1, 12, 4.7272863968292445, 8.350659235619897
1, 13, 5.009734717554523, 9.380108882718813
1, 14, 5.291543856395063, 10.466750176878795
1, 15, 5.573789870656891, 11.614668235747033
1, 16, 5.857341279750833, 12.827948176970757
1, 17, 6.142609550928467, 14.109313412314792
1, 18, 6.430497691150089, 15.464210765308716
1, 19, 6.721751527708842, 16.898087059482204
1, 20, 7.0164704021013415, 18.413665706600064
1, 21, 7.315230127371693, 20.0163935301919
1, 22, 7.618749078886111, 21.71307905966973
1, 23, 7.927168949150487, 23.507807412680823
1, 24, 8.240822363759902, 25.40602541275476
1, 25, 8.559983990968258, 27.413179883421158
1, 26, 8.885083838680599, 29.53607935409206
1, 27, 9.215888214957598, 31.777447236532318
1, 28, 9.552756535393906, 34.14409206015389
1, 29, 9.895437130184359, 36.63873723672165
1, 30, 10.24387938343194, 39.26546788388277
1, 31, 10.59802988352411, 42.0283691192845
1, 32, 18.09062708737985, 122.48884629888877
1, 33, 18.293495046174463, 125.25174753429052
1, 34, 18.48430009032748, 127.87847818145168
1, 35, 18.66370457337451, 130.37312335801943
1, 36, 18.832324079521282, 132.73976818164093
1, 37, 18.990637456555493, 134.98113606408123
1, 38, 19.139375640314878, 137.1040355347521
1, 39, 19.278948949454335, 139.11119000541854
1, 40, 19.410023654759826, 141.00940800549247
1, 41, 19.533143328703744, 142.80413635850357
1, 42, 19.648827802449315, 144.5008218879814
1, 43, 19.75748387126123, 146.10354971157324
1, 44, 19.85968484710811, 147.6191283586911
1, 45, 19.95589449939102, 149.05300465286453
1, 46, 20.046380564370068, 150.40790200585852
1, 47, 20.13158163084159, 151.68926724120254
1, 48, 20.211924507687886, 152.90254718242625
1, 49, 20.28764622726252, 154.0504652412945
1, 50, 20.359066380520503, 155.1371065354544
1, 51, 20.426497231514382, 156.16655618255336
1, 52, 20.49015570721048, 157.14153759435612
1, 53, 20.55034239786246, 158.06613588850973
1, 54, 20.60726425596864, 158.9430744767792
1, 55, 20.661036302208963, 159.7737150650468
1, 56, 20.7120343500488, 160.5635044768422
1, 57, 20.760278842648944, 161.31244271216562
1, 58, 20.805963781505092, 162.0232531827815
1, 59, 20.849280475622958, 162.69865930045484
1, 60, 20.890417796719824, 163.34138447695048
1, 61, 20.92938859566253, 163.95142871226838
1, 62, 20.966378462355188, 164.53151541817323
2, 1, 1.2448770374871887, 0.5657867059049403
2, 2, 0.0, 0.0
2, 3, 1.2766171183014623, 0.5957442353178807
2, 4, 1.8294290467399925, 1.2384694118134913
2, 5, 2.269620697593997, 1.9138755294868537
2, 6, 2.655207969954794, 2.624686000102775
2, 7, 3.0084780322693248, 3.3736242354260577
2, 8, 3.3407912097363988, 4.163413647221524
2, 9, 3.657863703437581, 4.994054235489173
2, 10, 3.965190325679878, 5.870992823758618
2, 11, 4.2653049225721995, 6.7955911179122905
2, 12, 4.560429567396469, 7.77057252971496
2, 13, 4.852599623068881, 8.80002217681388
2, 14, 5.14302610781721, 9.886663470973852
2, 15, 5.432993160659644, 11.034581529842093
2, 16, 5.723524091764639, 12.24786147106581
2, 17, 6.015141998049149, 13.529226706409839
2, 18, 6.308849476522938, 14.884124059403776
2, 19, 6.605469306702841, 16.318000353577276
2, 20, 6.905153008087605, 17.833579000695128
2, 21, 7.208527795461677, 19.43630682428695
2, 22, 7.516356743034827, 21.1329923537648
2, 23, 7.828811449378043, 22.927720706775872
2, 24, 8.146252782266362, 24.82593870684982
2, 25, 8.468979105368604, 26.83309317751623
2, 26, 8.797442581905283, 28.95599264818712
2, 27, 9.131422493354002, 31.197360530627368
2, 28, 9.471295507270803, 33.564005354248955
2, 29, 9.816820114424443, 36.058650530816706
2, 30, 10.16795682444802, 38.68538117797784
2, 31, 10.524662397132136, 41.448282413379545
2, 32, 18.04774416862614, 121.90875959298387
2, 33, 18.251088793985602, 124.67166082838558
2, 34, 18.442332579986118, 127.29839147554668
2, 35, 18.62214137965174, 129.7930366521144
2, 36, 18.791133850772663, 132.159681475736
2, 37, 18.94979134892692, 134.40104935817627
